id,nome,cilindrada,preco,descricao,ativo,imagem,cores,plano_1,valor_1,plano_2,valor_2,plano_3,valor_3,plano_4,valor_4,plano_5,valor_5,plano_6,valor_6,plano_7,valor_7
21,Honda Africa Twin,1084,R$ 82.990 à vista,A aventureira definitiva para grandes viagens.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-12/CRF1100L-Africa-Twin-DCT-ES-vista-lateralmente.webp,Preta; Branca,72x,"1.078,04",,,,,,,,,,,,
22,Honda Transalp 750,755,R$ 67.890 à vista,Equilíbrio entre turismo e off-road.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-11/honda-transalp-vista-lateral-completa-da-motocicleta.webp,Branca; Preta,72x,"1.042,30",,,,,,,,,,,,
24,Honda Hornet 750,755,R$ 55.990 à vista,A lenda voltou com um motor bicilíndrico explosivo.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-10/360-site-16fr_MLBF_Hornet75000_3.webp,Branca; Preta,72x,"1.018,48",,,,,,,,,,,,
25,Honda NC 750X,745,R$ 59.990 à vista,Tecnologia e praticidade com porta-capacete integrado.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-10/Lateral-v.webp,Vermelha; Azul,72x,"1.056,58",,,,,,,,,,,,
26,Honda TRX 420,420,R$ 53.290 à vista,O quadriciclo campeão de vendas para o trabalho.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/TRX%20Vermelha%202023%20Cor%20Eixo_lateral.webp,Vermelha; Verde,24x,"3.520,38",36x,"2.393,49",48x,"1.816,79",60x,"1.474,01",80x,"1.138,44",,,,
27,Honda CBR 650R,649,R$ 69.990 à vista,Esportividade e adrenalina com 4 cilindros.,TRUE,https://powersports.honda.com/motorcycle/sport/-/media/products/family/cbr650r/trims/trim-main/cbr650r-e-clutch/2026/2026-cbr650r-e-clutch-matte_black_metallic-1505x923.png,Vermelha; Preta,72x,"1.000,52",,,,,,,,,,,,
28,Honda CB 1000R,998,R$ 87.990 à vista,A poderosa Black Edition com design Neo Sports Café.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2023-09/moto-honda-cb-1000r-vermelho-met%C3%A1lico-bordeaux-red-metallic-lateral_0.webp,Preta,72x,"994,93",,,,,,,,,,,,
29,Honda PCX ABS,160,R$ 25.590 à vista,Segurança avançada com freios ABS.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/visao-da-lateral-direita-da-honda-pcx-azul.webp,Azul; Branca,24x,"1.621,79",36x,"1.102,64",48x,"836,97",60x,"679,51",80x,"524,61",,,,
30,Honda NX 500,471,R$ 51.990 à vista,Estilo crossover para o seu dia a dia.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-home-honda-NX500-Vermelha-Lateral.webp,Preta; Vermelha,72x,"1.042,33",,,,,,,,,,,,
31,Honda Pop 110i ES +10,110,R$ 13.890 à vista,Condição especial com o Plano +10 para a sua Pop.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Pop-110i-Es-Vermelho-Fighting-Red_0.webp,Vermelha; Branca,24x,"732,49",36x,"497,99",48x,"377,96",60x,"306,83",80x,"236,79",,,,
